Name,Assign,Status
Project Structure,Pradyot Prakash,Not started
Firebase Implementation,Pradyot Prakash,Not started
Splash Screen,Pradyot Prakash,
UI Design,Pradyot Prakash,
Login Page,Pradyot Prakash,
Test Editor,Pradyot Prakash,
Add Image,Pradyot Prakash,
Get All Blogs,Pradyot Prakash,
Subscribe To A User,Pradyot Prakash,
Follow A User,Pradyot Prakash,
Profile Page,Pradyot Prakash,
Search,Pradyot Prakash,
Mobile Application,Pradyot Prakash,Future Work
