Name,Assign,Status
Project Structure,,Not started
Firebase Implementation,,Not started
Splash Screen,,
UI Design,,
Login Page,,
Test Editor,,
Add Image,,
Get All Blogs,,
Subscribe To A User,,
Follow A User,,
Profile Page,,
Search,,
Mobile Application,,Future Work
